heldout_model_type,method,budget,mean_utility,mean_quality,regret_to_full_calibration,n_new_model_evals,new_model_selection_rate,training_time_s
medium_local,embedding_cluster_calibration,80,0.6044607684789871,0.7509689922480621,0.001928320025579781,80.0,0.03972868217054263,0.0
medium_local,calibration_aware_route_state,160,0.7346845649183184,0.7742248062015505,0.004844961240310068,160.0,0.125,0.0
medium_local,direct_probe_regressor_retrain,160,0.6783613330257477,0.7393410852713179,-0.014355221486156608,160.0,0.10852713178294575,0.03444703933322065
medium_local,random_query_route_state_calibration,160,0.6723237120138991,0.7906976744186046,0.0,160.0,0.02131782945736434,0.0
medium_local,uniform_route_state_calibration,160,0.6723237120138991,0.7906976744186046,0.0,160.0,0.02131782945736434,0.0
medium_local,active_route_state_calibration,160,0.6714798134552118,0.7810077519379844,0.0008438985586873097,160.0,0.060077519379844964,0.0
medium_local,dataset_stratified_calibration,160,0.6578231635645116,0.7606589147286821,0.009558039733294462,160.0,0.07751937984496124,0.0
medium_local,embedding_cluster_calibration,160,0.6083862253164027,0.7490310077519379,-0.0019971368118358868,160.0,0.03875968992248062,0.0
medium_local,calibration_aware_route_state,320,0.7395295261586284,0.7790697674418605,0.0,320.0,0.07848837209302326,0.0
medium_local,active_route_state_calibration,320,0.6723237120138991,0.7906976744186046,0.0,320.0,0.0,0.0
medium_local,random_query_route_state_calibration,320,0.6723237120138991,0.7906976744186046,0.0,320.0,0.02131782945736434,0.0
medium_local,uniform_route_state_calibration,320,0.6723237120138991,0.7906976744186046,0.0,320.0,0.0,0.0
medium_local,direct_probe_regressor_retrain,320,0.6708646508551802,0.7325581395348837,-0.006858539315588996,320.0,0.11143410852713177,0.03504449450095611
