replicate_seed,mean_utility,oracle_regret,mean_quality,normalized_cost,method,K,utility_ci_low,utility_ci_high,recovered_gap_vs_learned,recovered_gap_vs_oracle,selected_model_entropy,rate_log2K,empirical_H_Z,new_model_id,examples_per_label,calibration_query_count,new_model_evaluations,labels_switching_to_new_model
0,0.7241379310344828,0.1724137931034483,0.7241379310344828,0.06525208415040623,embedding_cluster_calibration,16,0.6878448275862069,0.7587068965517241,0.0,0.24812030075187988,1.9753360775781668,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,4,64,64,2
0,0.7086206896551724,0.1879310344827586,0.7086206896551724,0.06548400794281797,uniform_route_state_calibration,16,0.6715086206896551,0.743103448275862,0.0,0.18045112781954917,1.9037426851974264,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,4,64,64,2
0,0.7258620689655172,0.1706896551724138,0.7258620689655172,0.06345784822208973,active_route_state_calibration,16,0.6956465517241379,0.76125,0.0,0.25563909774436083,1.752013945296799,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,4,64,64,3
0,0.6758620689655173,0.2206896551724138,0.6758620689655173,0.1447839772021755,direct_retraining_budgeted_logistic_active_budget,,0.63875,0.708706896551724,0.0,0.03759398496240632,1.1404147059471441,0.0,,Llama-3.1-8B-Instruct,4,64,64,
0,0.7034482758620689,0.19310344827586207,0.7034482758620689,0.06141772610480969,random_route_state_calibration,16,0.6732327586206897,0.743103448275862,0.0,0.15789473684210528,1.9113742636452287,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,8,125,125,3
0,0.7344827586206897,0.16206896551724137,0.7344827586206897,0.05991367004846821,dataset_stratified_calibration,16,0.7033620689655172,0.7726724137931034,0.0,0.2932330827067672,1.8923987539192222,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,8,125,125,5
0,0.7137931034482758,0.18275862068965518,0.7137931034482758,0.06088221297982467,embedding_cluster_calibration,16,0.6775862068965517,0.7509913793103448,0.0,0.20300751879699258,1.9497902755257117,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,8,125,125,4
0,0.7379310344827587,0.15862068965517243,0.7379310344827587,0.06493903953665427,uniform_route_state_calibration,16,0.7051724137931035,0.7752155172413793,0.0,0.3082706766917296,1.7161861375090408,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,8,125,125,1
0,0.7224137931034482,0.17413793103448275,0.7224137931034482,0.06499512549534445,active_route_state_calibration,16,0.6878448275862069,0.7630603448275861,0.0,0.24060150375939843,1.8271622027544363,4.0,2.9996656655163556,Llama-3.1-8B-Instruct,8,125,125,1
0,0.6775862068965517,0.2189655172413793,0.6775862068965517,0.1446834184672679,direct_retraining_budgeted_logistic_active_budget,,0.6404741379310345,0.7103448275862069,0.0,0.04511278195488729,1.1458524388142919,0.0,,Llama-3.1-8B-Instruct,8,125,125,
0,0.7482758620689656,0.1482758620689655,0.7482758620689656,0.09083164446658082,routecode_no_new_model,16,0.7224137931034482,0.784655172413793,0.0,0.3533834586466169,1.1058822540512772,4.0,2.731697991191525,MiniCPM4.1-8B,0,0,0,
0,0.7362068965517241,0.16034482758620688,0.7362068965517241,0.0633930932357626,random_route_state_calibration,16,0.7059051724137931,0.7698706896551724,0.0,0.30075187969924816,1.6962861884033829,4.0,2.731697991191525,MiniCPM4.1-8B,1,16,16,1
0,0.7379310344827587,0.15862068965517243,0.7379310344827587,0.014959341221718254,dataset_stratified_calibration,16,0.7059913793103448,0.7647844827586207,0.0,0.3082706766917296,1.3821110199331383,4.0,2.731697991191525,MiniCPM4.1-8B,1,16,16,3
