sensitivity_name,sensitivity_k,sensitivity_alpha,method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max,recovered_gap_vs_oracle_mean
k_8_alpha_3p0,8,3.0,active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.592241,0.052423,0.555172,0.62931,8.0,8,8,-0.386305
k_8_alpha_3p0,8,3.0,active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.722414,0.053643,0.684483,0.760345,32.0,32,32,0.20192
k_8_alpha_3p0,8,3.0,active_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.724138,0.056081,0.684483,0.763793,64.0,64,64,0.209671
k_8_alpha_3p0,8,3.0,active_route_state_calibration,Qwen3-8B,1,2,0.669828,0.006096,0.665517,0.674138,8.0,8,8,-0.035068
k_8_alpha_3p0,8,3.0,active_route_state_calibration,Qwen3-8B,4,2,0.753448,0.019506,0.739655,0.767241,32.0,32,32,0.345884
k_8_alpha_3p0,8,3.0,active_route_state_calibration,Qwen3-8B,8,2,0.749138,0.010972,0.741379,0.756897,64.0,64,64,0.325951
k_8_alpha_3p0,8,3.0,dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.724138,0.060957,0.681034,0.767241,8.0,8,8,0.214101
k_8_alpha_3p0,8,3.0,dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.766379,0.001219,0.765517,0.767241,32.0,32,32,0.404024
k_8_alpha_3p0,8,3.0,dataset_stratified_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.768103,0.003657,0.765517,0.77069,64.0,64,64,0.41196
k_8_alpha_3p0,8,3.0,dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.766379,0.006096,0.762069,0.77069,8.0,8,8,0.404208
k_8_alpha_3p0,8,3.0,dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.688793,0.008534,0.682759,0.694828,32.0,32,32,0.050664
k_8_alpha_3p0,8,3.0,dataset_stratified_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.767241,0.004877,0.763793,0.77069,64.0,64,64,0.408084
k_8_alpha_3p0,8,3.0,dataset_stratified_calibration,Qwen3-8B,1,2,0.712931,0.0573,0.672414,0.753448,8.0,8,8,0.162975
k_8_alpha_3p0,8,3.0,dataset_stratified_calibration,Qwen3-8B,4,2,0.722414,0.065834,0.675862,0.768966,32.0,32,32,0.206441
k_8_alpha_3p0,8,3.0,dataset_stratified_calibration,Qwen3-8B,8,2,0.733621,0.030479,0.712069,0.755172,64.0,64,64,0.256091
k_8_alpha_3p0,8,3.0,direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,1,2,0.668103,0.013411,0.658621,0.677586,8.0,8,8,-0.042636
k_8_alpha_3p0,8,3.0,direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,4,2,0.668103,0.013411,0.658621,0.677586,32.0,32,32,-0.042636
k_8_alpha_3p0,8,3.0,direct_retraining_budgeted_logistic_active_budget,DeepSeek-R1-Distill-Qwen-7B,8,2,0.668103,0.013411,0.658621,0.677586,64.0,64,64,-0.042636
k_8_alpha_3p0,8,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,1,2,0.651724,0.01463,0.641379,0.662069,8.0,8,8,-0.11711
k_8_alpha_3p0,8,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,4,2,0.651724,0.01463,0.641379,0.662069,32.0,32,32,-0.11711
k_8_alpha_3p0,8,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen2.5-Coder-7B-Instruct,8,2,0.652586,0.015849,0.641379,0.663793,64.0,64,64,-0.113141
k_8_alpha_3p0,8,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen3-8B,1,2,0.591379,0.017068,0.57931,0.603448,8.0,8,8,-0.392857
k_8_alpha_3p0,8,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen3-8B,4,2,0.591379,0.017068,0.57931,0.603448,32.0,32,32,-0.392857
k_8_alpha_3p0,8,3.0,direct_retraining_budgeted_logistic_active_budget,Qwen3-8B,8,2,0.593103,0.017068,0.581034,0.605172,64.0,64,64,-0.385013
k_8_alpha_3p0,8,3.0,embedding_cluster_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.734483,0.034136,0.710345,0.758621,8.0,8,8,0.260151
k_8_alpha_3p0,8,3.0,embedding_cluster_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.724138,0.051204,0.687931,0.760345,32.0,32,32,0.213732
k_8_alpha_3p0,8,3.0,embedding_cluster_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.766379,0.006096,0.762069,0.77069,64.0,64,64,0.404208
k_8_alpha_3p0,8,3.0,embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.724138,0.026821,0.705172,0.743103,8.0,8,8,0.210779
k_8_alpha_3p0,8,3.0,embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.72069,0.070711,0.67069,0.77069,32.0,32,32,0.198782
k_8_alpha_3p0,8,3.0,embedding_cluster_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.765517,0.007315,0.760345,0.77069,64.0,64,64,0.400332
k_8_alpha_3p0,8,3.0,embedding_cluster_calibration,Qwen3-8B,1,2,0.752586,0.003657,0.75,0.755172,8.0,8,8,0.341085
k_8_alpha_3p0,8,3.0,embedding_cluster_calibration,Qwen3-8B,4,2,0.74569,0.008534,0.739655,0.751724,32.0,32,32,0.31017
k_8_alpha_3p0,8,3.0,embedding_cluster_calibration,Qwen3-8B,8,2,0.756034,0.023164,0.739655,0.772414,64.0,64,64,0.356035
k_8_alpha_3p0,8,3.0,random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,1,2,0.707759,0.081683,0.65,0.765517,8.0,8,8,0.134182
k_8_alpha_3p0,8,3.0,random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,4,2,0.721552,0.001219,0.72069,0.722414,32.0,32,32,0.199982
k_8_alpha_3p0,8,3.0,random_route_state_calibration,DeepSeek-R1-Distill-Qwen-7B,8,2,0.725862,0.056081,0.686207,0.765517,64.0,64,64,0.217516
k_8_alpha_3p0,8,3.0,random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,2,0.656034,0.030479,0.634483,0.677586,8.0,8,8,-0.099206
k_8_alpha_3p0,8,3.0,random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,2,0.625862,0.063396,0.581034,0.67069,32.0,32,32,-0.232927
k_8_alpha_3p0,8,3.0,random_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,2,0.722414,0.068272,0.674138,0.77069,64.0,64,64,0.206534
