method,new_model_id,examples_per_label,replicates,mean_utility_mean,mean_utility_std,mean_utility_min,mean_utility_max,recovered_gap_vs_oracle_mean,new_model_evaluations_mean,new_model_evaluations_min,new_model_evaluations_max
uniform_route_state_calibration,Intern-S1-mini,2,3,0.7,0.019199,0.67931,0.717241,0.142857,32.0,32,32
uniform_route_state_calibration,Intern-S1-mini,4,3,0.694253,0.014042,0.684483,0.710345,0.117794,64.0,64,64
uniform_route_state_calibration,Intern-S1-mini,8,3,0.726437,0.014664,0.712069,0.741379,0.258145,127.0,126,128
uniform_route_state_calibration,Llama-3.1-8B-Instruct,1,3,0.586207,0.033962,0.548276,0.613793,-0.353383,16.0,16,16
uniform_route_state_calibration,Llama-3.1-8B-Instruct,2,3,0.692529,0.054776,0.62931,0.725862,0.110276,31.333333,30,32
uniform_route_state_calibration,Llama-3.1-8B-Instruct,4,3,0.70977,0.001991,0.708621,0.712069,0.185464,61.0,58,64
uniform_route_state_calibration,Llama-3.1-8B-Instruct,8,3,0.725862,0.012069,0.713793,0.737931,0.255639,118.333333,113,125
uniform_route_state_calibration,MiniCPM4.1-8B,1,3,0.693678,0.04256,0.646552,0.72931,0.115288,16.0,16,16
uniform_route_state_calibration,MiniCPM4.1-8B,2,3,0.667241,0.055253,0.634483,0.731034,0.0,31.333333,31,32
uniform_route_state_calibration,MiniCPM4.1-8B,4,3,0.727586,0.024322,0.701724,0.75,0.263158,61.333333,59,64
uniform_route_state_calibration,MiniCPM4.1-8B,8,3,0.732759,0.001724,0.731034,0.734483,0.285714,119.333333,115,125
uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,1,3,0.641954,0.03162,0.617241,0.677586,-0.110276,16.0,16,16
uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,2,3,0.667241,0.046647,0.622414,0.715517,0.0,31.666667,31,32
uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,4,3,0.682184,0.025124,0.658621,0.708621,0.065163,62.666667,61,64
uniform_route_state_calibration,Qwen2.5-Coder-7B-Instruct,8,3,0.724138,0.021603,0.703448,0.746552,0.24812,123.333333,121,127
uniform_route_state_calibration,Qwen3-8B,1,3,0.713793,0.021603,0.691379,0.734483,0.203008,16.0,16,16
uniform_route_state_calibration,Qwen3-8B,2,3,0.733908,0.020785,0.712069,0.753448,0.290727,32.0,32,32
uniform_route_state_calibration,Qwen3-8B,4,3,0.728161,0.025881,0.698276,0.743103,0.265664,63.333333,62,64
uniform_route_state_calibration,Qwen3-8B,8,3,0.714943,0.013055,0.7,0.724138,0.20802,126.0,122,128
